#one element and all of its edges per line
Al K:1559 L3:72.5 L2:72.9 L1:117.8
Ag K:25516 L3:3351 L2:3525 L1:3807
Ar K:3202 
As K:11865 
Au K:80720 L3:11921 L2:13736 L1:14353
B  K:188 L3:4.7 L2:4.7 L1:12.6
Be K:111.5 L3:8 L2:3 L1:3
Ba K:37452 L3:5247 L2:5623 L1:5996
Bi K:90534 L3:13426 L2:15719 L1:16376
Br K:13470 
C K:284.2 L3:7.2 L2:7.2 L1:18
Ca K:4038 
Cd K:26715 L3:3537 L2:3728 L1:4019
Ce K:40453 L3:5723 L2:6161 L1:6548
Cl K:2819 
Co K:7709 
Cr K:5988 
Cs K:35987 L3:5011 L2:5358 L1:5721
Cu K:8980 
Dy K:53793 L3:7789 L2:8583 L1:9054
Er K:57487 L3:8357 L2:9262 L1:9757
Eu K:48519 L3:6980 L2:7619 L1:8060
F K:696.7 L3:19.9 L2:19.9 L1:45
Fe K:7111 L3:706.8 L2:719.9 L1:844.6
Ga K:10368 
Ge K:11103 
Gd K:50233 L3:7243 L2:7931 L1:8368
H  K:13.6
He K:24.6
Hf K:65310 L3:9557 L2:10736 L1:11274
Hg K:83109 L3:12286 L2:14215 L1:14842
Ho K:55619 L3:8067 L2:8916 L1:9399
I K:33166 L3:4558 L2:4854 L1:5192
In K:27942 L3:3730 L2:3939 L1:4237
Ir K:76101 L3:11212 L2:12820 L1:13423
K K:3607 
Kr K:14324 
Li K:54.7  L1:5.3
La K:38934 L3:5484 L2:5889 L1:6268
Lu K:63310 L3:9249 L2:10344 L1:10874
Mg K:1303 L3:49.21 L2:49.6 L1:88.6
Mn K:6536 
Mo K:20003 L3:2523 L2:2627 L1:2881
N K:409.9 L3:17.5 L2:17.5 L1:37.3
Na K:1070.8 L3:30.4 L2:30.5 L1:63.5
Nb K:18986 L3:2370 L2:2469 L1:2710
Ne K:870.2 L3:21.6 L2:21.7 L1:48.5
Nd K:43574 L3:6209 L2:6723 L1:7129
Ni K:8331
Np L3:17610 L2:21600
O K:543.1 L3:18.2 L2:18.2 L1:41.6
Os K:73856 L3:10868 L2:12381 L1:12972
P K:2145.5 L3:135 L2:136 L1:189
Pb K:88005 L3:13040 L2:15205 L1:15855
Pd K:24438 L3:3173 L2:3330 L1:3607
Pt K:78831 L3:11562 L2:13272 L1:13883
Pm K:45198 L3:6460 L2:7014 L1:7436
Pr K:42002 L3:5963 L2:6439 L1:6834
Rb K:15202 L3:1694 L2:1752 L1:2063
Re K:71658 L3:10530 L2:11954 L1:12530
Rh K:23219 L3:3002 L2:3144 L1:3417
Rn K:98404 L3:18049 L2:17337 L1:14169
Ru K:22119 L3:2837 L2:2966 L1:3233
S K:2472 L3:162.5 L2:163.6 L1:230.9
Sb K:30486 L3:4132 L2:4381 L1:4698
Sc K:4489 
Se K:12654 
Si K:1839 L3:99.2 L2:99.8 L1:149.7
Sm K:46849 L3:6717 L2:7313 L1:7747
Sn K:29194 L3:3928 L2:4157 L1:4464
Sr K:16107 L3:1806 L2:1872 L1:2217
Ta K:67403 L3:9876 L2:11132 L1:11682
Tb K:52002 L3:7515 L2:8252 L1:8716
Tc K:21047 L3:2678 L2:2794 L1:3055
Te K:31811 L3:4341 L2:4612 L1:4939
Th L3:16299 L2:19683 L1:20464
Ti K:4964 
Tl K:85533 L3:12660 L2:14699 L1:15343
Tm K:59380 L3:8649 L2:9617 L1:10121
U L3:17165 L2:20945 L1:21771
V K:5463 
W K:69508 L3:10199 L2:11538 L1:12099
Xe K:34590 L3:4782 L2:5103 L1:5452
Zn K:9660 
Y K:17038 L3:1922 L2:1996 L1:2377
Yb K:61300 L3:8944 L2:9976 L1:10490
Zr K:17998 L3:2222 L2:2305 L1:2541
